Values recorded at: 07-Oct-2014 20:06:12

   Collision	    Weather	Deformation	    Buffers	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.012	      0.000	
       0.000	      0.000	      0.012	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.011	      0.000	
       0.000	      0.000	      0.011	      0.000	
       0.000	      0.000	      0.008	      0.000	
       0.000	      0.000	      0.009	      0.000	
       0.000	      0.000	      0.011	      0.000	
       0.000	      0.000	      0.008	      0.000	
       0.000	      0.000	      0.010	      0.000	
       0.000	      0.000	      0.011	      0.000	
       0.000	      0.000	      0.009	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.008	      0.000	
       0.000	      0.000	      0.008	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.012	      0.000	
       0.000	      0.000	      0.009	      0.000	
       0.000	      0.000	      0.011	      0.000	
       0.000	      0.000	      0.010	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.011	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.008	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.008	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.011	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.011	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.010	      0.000	
       0.000	      0.000	      0.011	      0.000	
       0.000	      0.000	      0.008	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.008	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.012	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.009	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.010	      0.000	
       0.000	      0.000	      0.012	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.007	      0.000	
       0.000	      0.000	      0.005	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
       0.000	      0.000	      0.006	      0.000	
 
